c 0182         01 18 45.90  14 59 35.60 UGC 0838                  6872   4  1.03 -20.81 10.38 -10.27  2.64  6879  14 171  243  2.83 0.37   7.1   13.3  9.81 -0.57
c 0183         01 19 04.40 -00 08 18.80 UGC 0847                  5240   5  1.14 -19.57  9.66 -10.48  1.52  5242   7 268  287  0.85 0.24   3.8    5.6  9.05 -0.61
c 0184         01 19 14.30 -09 35 46.40 SHOC 061                  1912   1 -2.29 -12.25  6.06 -08.30  1.84  1933  14  66  117  0.61 0.18   5.0    6.8  8.04  1.98
c 0186         01 19 32.90  14 52 19.00 NGC 0469                  4103   2  0.61 -19.07  9.17 -09.43  1.71  4093   3  84  100  0.85 0.16   6.4    8.9  8.83 -0.34
c 0187         01 19 58.70  00 43 20.30 LSBC F827-05              4399  11  0.54 -16.95  8.85    ---  1.65  4397   7 144  164  0.71 0.19   3.8    5.9  8.82 -0.03
c 0188         01 20 06.80 -00 12 19.60 UGC 0866                  1741   9  0.36 -17.13  8.36 -10.02  2.53  1737   3 127  144  1.85 0.28   7.0   10.8  8.43  0.07
c 0190         01 21 09.30  15 41 40.90 CGCG 436-032              5130   4  0.79 -19.10  9.45 -10.09  2.17  5131   5 173  194  1.58 0.28   5.3    9.1  9.30 -0.14
c 0191         01 21 21.30  00 05 25.40 IC 1681                   3795   6  0.72 -18.82  9.21 -10.20  2.46  3796   6 195  234  3.84 0.35   8.6   18.3  9.43  0.22
c 0192         01 21 30.66  14 30 18.00 CGCG 436-034              4207   4  1.21 -19.06  9.92 -10.33  1.29  4203  19 241  298  0.91 0.20   4.2    7.4  8.89 -1.03
c 0193 N       01 22 10.20  00 56 57.70 NGC 0493                  2363   4  0.70 -19.85   ---    ---  2.32  2334   1 265  299 23.91 0.37  46.6  104.6  9.80  9.80
c 0194 C3      01 22 23.80 -00 52 30.70 NGC 0497                  8131   3  1.64 -23.27 11.39 -13.12  4.00  8127   7 531  561  7.60 0.86   5.8   13.4 10.38 -1.01
c 0196         01 23 03.30  15 12 41.80 ASK 42584                 4133   4  0.43 -16.42  8.13 -09.39  2.53  4122   6 112  139  1.51 0.27   6.7    9.3  9.09  0.96
c 0197 N       01 23 14.50 -00 42 04.80 UGC 0931                  1985   3  0.55 -17.26   ---    ---  1.57  1997   2 112  135  1.88 0.17  12.7   18.7  8.56  8.56
c 0198         01 24 44.40 -08 50 36.70 2MASX J01244434-0850365   3974   4  0.84 -19.25  9.26 -11.42  3.20  3981  10 114  154  1.43 0.36   5.3    6.8  9.04 -0.22
c 0201         01 25 04.60  14 23 58.80 ASK 42415                 5047   3  0.71 -17.53  8.73 -10.55  2.89  5040   4 189  204  2.17 0.38   5.4    9.0  9.42  0.70
c 0202 C1      01 25 22.10  14 50 19.30 IC 1698                   6554   2  1.66 -20.49 10.84 -11.20  1.57  6562   5 454  503  4.93 0.32  13.0   24.0 10.01 -0.83
c 0204         01 25 39.40  00 07 49.30 UGC 0998                  5119   3  0.52 -17.87  8.74 -09.66  2.67  5107  11 145  198  2.67 0.34   6.9   13.6  9.52  0.78
c 0205         01 26 04.90  00 18 56.00 UGC 1011                  1904   2  0.61 -15.87  8.41    ---  2.53  1917   7 118  164  2.80 0.30   8.7   16.8  8.69  0.28
c 0208         01 26 46.60 -00 38 46.00 UM 323                    1930   1  0.12 -16.61  7.61 -08.66  2.29  1913   5  70  117  2.11 0.23  12.0   18.1  8.57  0.96
c 0212 C2      01 27 09.40 -09 18 08.10 2MASX J01270941-0918080   5336   2  1.14 -20.30  9.86 -09.94  2.24  5364  23 172  235  1.33 0.31   3.9    7.4  9.27 -0.59
c 0213         01 27 13.10  13 36 08.30 UGC 1026                  4508   7  0.57 -17.00  9.12    ---  1.55  4506   2 104  134  2.53 0.16  17.2   26.3  9.39  0.27
c 0216         01 28 38.60 -00 40 30.40 ASK 32610                 1901  18  0.48 -14.83  7.22 -09.42  1.41  1909   4  61   86  0.66 0.12   7.6    9.8  8.06  0.84
c 0217         01 28 58.63 -00 56 56.30 NGC 0570                  5526   2  1.51 -22.47 10.90 -12.32  1.25  5555  12 326  354  0.50 0.21   3.3    3.6  8.87 -2.03
